"rank","name","usps","pop2021","pop2010","growth","density","aland_sqmi"
"180","Springfield","MA","152160","153569","-0.0092","4775","31.8690"
"181","Escondido","CA","151289","144440","0.0474","4054","37.3140"
"182","Pomona","CA","151223","149107","0.0142","6580","22.9820"
"183","Bellevue","WA","150364","128357","0.1715","4494","33.4610"
"184","Surprise","AZ","149558","117643","0.2713","1384","108.0630"
"185","Naperville","IL","149167","142402","0.0475","3843","38.8110"
"186","Pasadena","TX","148215","149523","-0.0087","3401","43.5860"
"187","Denton","TX","147993","117010","0.2648","1538","96.2360"
"188","Roseville","CA","146594","119916","0.2225","3326","44.0790"
"189","Joliet","IL","146572","147524","-0.0065","2285","64.1520"
"190","Thornton","CO","145688","119391","0.2203","4059","35.8910"
"191","McAllen","TX","144744","132093","0.0958","2203","65.6980"
"192","Paterson","NJ","144511","146391","-0.0128","17177","8.4130"
"193","Rockford","IL","144213","153147","-0.0583","2240","64.3790"
"194","Carrollton","TX","143718","119564","0.2020","3919","36.6690"
"195","Bridgeport","CT","143653","144864","-0.0084","8943","16.0640"
"196","Miramar","FL","142445","122300","0.1647","4937","28.8530"
"197","Round Rock","TX","142418","100772","0.4133","3933","36.2130"
"198","Metairie","LA","142135","138481","0.0264","6111","23.2590"
"199","Olathe","KS","142119","126269","0.1255","2306","61.6420"
"200","Waco","TX","141936","125377","0.1321","1597","88.8560"
